"client_names","age","dt","programs","ret"
"Kayley White",25,2021-11-07,"stages",0
"Denzell Hamill",24,2021-05-25,"stages",0
"Verona Nolan",23,2021-06-27,"brv",0
"Else Predovic",27,2022-07-28,"dbt",1
"Andreas Harvey",27,2021-07-20,"brave",0
"Eleanore Waters",29,2021-07-04,"resolve",1
"Dr. Finn Hermiston I",33,2022-02-08,"rdap",1
"Carlie Kuhn",26,2021-12-11,"challenge",0
"Dr. Ted Brakus",37,2021-11-02,"sotrt",1
"Hillary Willms-Rogahn",35,2022-06-15,"am",1
"Codi Mayer DVM",29,2022-02-23,"am",1
"Levin Smitham",30,2021-10-24,"mhsd",1
"Cleora Kessler",30,2022-01-19,"bcs",1
"Agustus Reichert-Olson",28,2022-02-23,"rdp",0
"Eddie Nikolaus",37,2021-08-13,"resolve",1
"Breonna Gottlieb",17,2021-11-15,"stages",0
"Bush White",21,2022-05-23,"stages",1
"Mr. Tyrique King IV",35,2021-12-21,"brave",1
"Herminia Terry",34,2021-10-01,"sotrt",1
"Biddie McDermott",28,2021-10-13,"challenge",1
"Dewayne Herzog",31,2022-02-21,"bcs",1
"Jarret Dare",33,2022-09-10,"am",1
"Beau Hills MD",21,2021-12-24,"stages",0
"Ms. Mell Watsica",28,2021-06-09,"challenge",0
"Dr. Ham O'Conner",23,2021-12-19,"brave",0
"Cody Ward IV",30,2022-04-02,"challenge",1
"Yamilex Hirthe",24,2022-08-16,"bcs",1
"Eliseo Schmeler",19,2022-01-04,"am",0
"Ephriam Kreiger",33,2021-11-01,"rdp",0
"Jarett Weimann",33,2021-12-01,"brv",0
"Mrs. Marjorie Ullrich DDS",28,2021-09-09,"stages",0
"Miss China Little",29,2021-12-17,"rdap",1
"Hans Connelly II",20,2022-06-04,"stages",0
"Dr. Virgle Smitham Sr.",29,2021-08-03,"challenge",0
"Ace Buckridge",26,2021-12-09,"stages",0
"Barry Prosacco",32,2021-08-07,"fbt",0
"Skyler Huel-Beatty",20,2021-09-13,"am",1
"Lahoma Hudson-Towne",29,2021-12-10,"am",1
"Linnie King",24,2022-01-10,"challenge",0
"Hortencia Dicki",28,2022-03-02,"mhsd",0
"Miss Yulisa Eichmann MD",25,2022-06-15,"brv",0
"Dr. Sanjuanita Thiel DVM",31,2022-02-23,"sotrt",0
"Tollie Bruen",28,2021-12-15,"resolve",1
"Enrico Carter",27,2022-04-04,"resolve",1
"Sidney Goldner",33,2022-04-03,"rdp",0
"Akira Walsh",24,2022-07-12,"bcs",1
"Mrs. Cecilia Runte MD",35,2021-08-05,"challenge",0
"Jaren Nienow",33,2021-09-05,"brave",0
"Arvin Pollich-Becker",25,2022-05-24,"bgs",0
"Tammy Koepp MD",32,2022-03-14,"fbt",0
"Ingrid Ortiz",32,2021-11-07,"am",1
"Alvera Mayer",25,2021-05-25,"sotrt",1
"Rhiannon Swift",26,2021-06-27,"brv",0
"Carter Simonis",30,2022-07-28,"resolve",0
"Timmy Hettinger",23,2021-07-20,"am",0
"Zena Ritchie-Kreiger",29,2021-07-04,"challenge",0
"Montie Bayer",28,2022-02-08,"mhsd",1
"Max Schowalter-Oberbrunner",42,2021-12-11,"rdap",1
"Deacon Emard",31,2021-11-02,"mhsd",0
"Elfrieda Walker",22,2022-06-15,"bcs",0
"Gwen Corkery-Bins",24,2022-02-23,"stages",1
"Fidel Sporer",19,2021-10-24,"rdap",1
"Dr. Dillion Emmerich",29,2022-01-19,"rdap",1
"Clarissa Botsford",33,2022-02-23,"rdap",1
"Jaidyn Nicolas-Bode",25,2021-08-13,"am",1
"Mr. Infant Kovacek Jr.",31,2021-11-15,"bcs",1
"Edson Boyle",30,2022-05-23,"am",1
"Margueritte Williamson",28,2021-12-21,"fbt",0
"Ms. Victoria Pollich",22,2021-10-01,"brave",0
"Orville Sporer-Yundt",28,2021-10-13,"sotrt",1
"Davie Kunde-Cruickshank",18,2022-02-21,"dbt",1
"Leland Durgan",30,2022-09-10,"fbt",0
"Lucina Kirlin",34,2021-12-24,"rdap",1
"Giselle Marquardt",20,2021-06-09,"am",0
"Melisa Murphy MD",24,2021-12-19,"am",0
"Elmo Hettinger",31,2022-04-02,"stages",0
"Porter Jaskolski",31,2022-08-16,"stages",1
"Jerry Cormier-Hoeger",34,2022-01-04,"stages",0
"Kory Rutherford",40,2021-11-01,"resolve",1
"Lyle Ritchie-Haag",30,2021-12-01,"stages",1
"Tyrus Grant",32,2021-09-09,"resolve",1
"Tilda Schuster",29,2021-12-17,"stages",1
"Levern Rogahn II",24,2022-06-04,"mhsd",0
"Mariyah Brown",25,2021-08-03,"challenge",0
"Dr. Mel Luettgen",29,2021-12-09,"fbt",0
"Brisa Hagenes",30,2021-08-07,"am",0
"Cannon Carter",27,2021-09-13,"resolve",1
"Dr. Alvy Windler",32,2021-12-10,"stages",0
"Ms. Stefani Kessler MD",37,2022-01-10,"stages",0
"Mr. Atlas Witting DDS",30,2022-03-02,"brave",0
"Kanesha Sauer DDS",26,2022-06-15,"rdp",0
"Rod Rolfson",28,2022-02-23,"challenge",1
"Hillary Streich",26,2021-12-15,"stages",1
"Doll Kuphal",23,2022-04-04,"challenge",0
"Jaime McKenzie III",34,2022-04-03,"bgs",0
"Marnie Cruickshank-Weimann",38,2022-07-12,"challenge",0
"Burley Kuhic",28,2021-08-05,"stages",1
"Erie Johnson",42,2021-09-05,"bcs",1
"Hugo Bins",34,2022-05-24,"bcs",1
"Cheyenne Schneider-Kassulke",28,2022-03-14,"bcs",1
"Myrle Kuhic DVM",31,2021-11-07,"sotrt",0
"Cristopher Glover-Welch",26,2021-05-25,"brave",0
"Zechariah Gibson",30,2021-06-27,"challenge",0
"Leamon Botsford",29,2022-07-28,"brave",0
"Samatha Towne",32,2021-07-20,"stages",0
"Ms. Elisa Kunze",27,2021-07-04,"challenge",0
"Karolyn Kihn",25,2022-02-08,"brave",1
"Lyndsay Dicki-Feest",29,2021-12-11,"resolve",1
"Mr. Kenan Grant II",21,2021-11-02,"challenge",0
"Miss Lyla Vandervort MD",32,2022-06-15,"brv",0
"Mr. Lenny Langworth DVM",23,2022-02-23,"am",1
"Jeremiah Eichmann",29,2021-10-24,"fbt",0
"Stephanie White",27,2022-01-19,"brave",0
"Louis Prohaska DVM",32,2022-02-23,"challenge",1
"Rachelle Roob",26,2021-08-13,"bcs",1
"Darry Littel",31,2021-11-15,"brv",0
"Arizona White",28,2022-05-23,"am",0
"Glenn Rempel-Beier",26,2021-12-21,"brave",1
"Drake Tillman",30,2021-10-01,"brave",0
"Liberty O'Kon",32,2021-10-13,"challenge",0
"Kayson Wolff Sr.",37,2022-02-21,"am",0
"Lexus Olson",30,2022-09-10,"resolve",0
"Doshia Schimmel",22,2021-12-24,"mhsd",0
"Lillis Effertz",22,2021-06-09,"am",0
"Randolf Sporer",28,2021-12-19,"brave",0
"Niko Littel DVM",28,2022-04-02,"challenge",0
"Gale Kris",28,2022-08-16,"am",1
"Alby Macejkovic",33,2022-01-04,"challenge",0
"Vicente Streich",26,2021-11-01,"am",0
"Mannie Windler",33,2021-12-01,"challenge",0
"Dr. Annice Dach PhD",30,2021-09-09,"rdp",0
"Sawyer Mante-Mohr",33,2021-12-17,"brv",0
"Rose Marvin",29,2022-06-04,"brave",0
"Mrs. Sheryll Schinner DDS",23,2021-08-03,"am",0
"Tyshawn Gibson",28,2021-12-09,"challenge",0
"Mrs. Dale Grant",36,2021-08-07,"challenge",0
"Dr. Pearlie Kshlerin",27,2021-09-13,"stages",0
"Champ Lockman",30,2021-12-10,"stages",0
"Ms. Noemie Beer MD",32,2022-01-10,"dbt",1
"Gerhard Welch-Harvey",25,2022-03-02,"brave",0
"Windell Torphy",30,2022-06-15,"stages",0
"Melanie Crooks",33,2022-02-23,"bcs",0
"Gardner Hodkiewicz",32,2021-12-15,"challenge",1
"Lauryn Predovic",28,2022-04-04,"sotrt",1
"Dan Gulgowski",31,2022-04-03,"fbt",0
"Gauge DuBuque",21,2022-07-12,"stages",1
"Joshuah Keebler-Jones",22,2021-08-05,"stages",0
"Dr. Waldo Ritchie",25,2021-09-05,"brave",0
"Dolly Langosh",20,2022-05-24,"fbt",0
"Anabel Miller-Swaniawski",30,2022-03-14,"am",0
"Ursula DuBuque MD",28,2021-11-07,"challenge",0
"Violeta Harvey DDS",38,2021-05-25,"stages",0
"Diana Spinka DDS",28,2021-06-27,"am",0
"Denton Williamson DDS",26,2022-07-28,"bgs",0
"Lesta Schmidt DVM",26,2021-07-20,"resolve",0
"Mrs. Dana Trantow DDS",28,2021-07-04,"rdp",0
"Taurean Cassin",33,2022-02-08,"fbt",0
"Pearla Graham",25,2021-12-11,"bcs",0
"Mozelle Renner DDS",19,2021-11-02,"challenge",0
"Cleve Howe",29,2022-06-15,"am",1
"Gaylord Beier",33,2022-02-23,"brave",0
"Kylan Cummerata",33,2021-10-24,"sotrt",0
"Brooke D'Amore",23,2022-01-19,"stages",1
"Brock Labadie-Pfannerstill",26,2022-02-23,"mhsd",1
"Caesar Johnston-Rogahn",38,2021-08-13,"sotrt",1
"Mr. Omari Jerde",26,2021-11-15,"resolve",1
"Vickie Ryan",28,2022-05-23,"fbt",0
"Wende Kovacek",29,2021-12-21,"am",0
"Dr. Delina Gutmann PhD",30,2021-10-01,"resolve",0
"Afton Ritchie",30,2021-10-13,"challenge",1
"Mr. Kristen Roob",34,2022-02-21,"brave",0
"Miss Jinnie Schmeler",24,2022-09-10,"resolve",1
"Mrs. Signe Hand DVM",23,2021-12-24,"brv",0
"Felecia Pfeffer MD",34,2021-06-09,"resolve",1
"Dr. Chalmers Barton",28,2021-12-19,"sotrt",1
"Baby Wiza",29,2022-04-02,"brave",0
"Miss Alice Bartell",21,2022-08-16,"mhsd",0
"Dr. Faustino McClure",27,2022-01-04,"stages",0
"Dr. Anabelle Sporer",35,2021-11-01,"rdp",0
"Imogene Barrows",34,2021-12-01,"rdap",1
"Maura Willms",26,2021-09-09,"bcs",0
"Shellie Prohaska",21,2021-12-17,"brave",0
"Ross Kutch",28,2022-06-04,"mhsd",1
"Mrs. Roxanne Willms DDS",25,2021-08-03,"stages",0
"Dr. Elon Pacocha",27,2021-12-09,"sotrt",0
"Andrae Bernier",29,2021-08-07,"rdp",0
"Ms. Macy Toy",26,2021-09-13,"stages",0
"Haley McCullough",32,2021-12-10,"resolve",0
"Dr. Craig Wilkinson DVM",30,2022-01-10,"brave",0
"Dr. Olga Ebert",28,2022-03-02,"bcs",1
"Sawyer Cole",31,2022-06-15,"stages",0
"Lola Bahringer",30,2022-02-23,"stages",0
"Shayna Batz MD",38,2021-12-15,"stages",0
"Edyth Rice",35,2022-04-04,"rdp",0
"Francisco Vandervort",33,2022-04-03,"challenge",0
"Ms. Jadyn Schowalter MD",29,2022-07-12,"am",1
"Malik Auer IV",26,2021-08-05,"brv",0
"Isaac Kirlin-Medhurst",33,2021-09-05,"stages",1
"Grecia Wolf",31,2022-05-24,"am",1
"Arta Fadel",30,2022-03-14,"brave",0
"Dr. Reece Padberg",37,2021-11-07,"resolve",0
"Miss Pearl Feil",38,2021-05-25,"stages",1
"Dr. Budd Daugherty",25,2021-06-27,"sotrt",1
"Donato Hegmann",35,2022-07-28,"am",1
"Dr. Hillary Gaylord",25,2021-07-20,"brave",0
"Andria Prohaska MD",24,2021-07-04,"sotrt",1
"Shelly Streich",24,2022-02-08,"stages",0
"Sylas Hoppe",29,2021-12-11,"stages",0
"Jerrel Monahan Sr.",29,2021-11-02,"am",1
"Tilman Jast",25,2022-06-15,"mhsd",1
"Hamilton Kassulke",31,2022-02-23,"challenge",0
"Ignatius Kozey",31,2021-10-24,"rdap",1
"Keagan Pollich",32,2022-01-19,"challenge",0
"Jerrold Mertz",20,2022-02-23,"am",0
"Chauncey Stamm DVM",33,2021-08-13,"brave",0
"Jacquelyn Zboncak",28,2021-11-15,"fbt",0
"Renea Konopelski",24,2022-05-23,"fbt",0
"Elza Mosciski-Dickinson",25,2021-12-21,"brv",0
"Alexandra Ryan",30,2021-10-01,"bcs",1
"Marylyn Lehner",30,2021-10-13,"stages",1
"Lilie Berge",29,2022-02-21,"bgs",0
"Dr. Tyrin Graham",30,2022-09-10,"mhsd",0
"Tierra Fahey",23,2021-12-24,"stages",0
"Dr. Noble Lueilwitz",25,2021-06-09,"bcs",0
"Heath Gibson",30,2021-12-19,"challenge",0
"Ned Macejkovic",27,2022-04-02,"am",1
"Mr. Alijah Turner DDS",27,2022-08-16,"fbt",0
"Ollie Prosacco",27,2022-01-04,"bcs",1
"Dr. Mason Berge",26,2021-11-01,"stages",0
"Everette Kovacek",33,2021-12-01,"brave",0
"Chin Bruen",26,2021-09-09,"rdap",1
"Mr. Spurgeon Wiegand",37,2021-12-17,"rdp",0
"Dylon Kuhn",25,2022-06-04,"stages",0
"Loree Weber",27,2021-08-03,"challenge",0
"Earlene Hills",27,2021-12-09,"fbt",0
"Ms. Lenore McLaughlin DDS",30,2021-08-07,"resolve",1
"Sydney Spinka",31,2021-09-13,"am",0
"Nels Cartwright",31,2021-12-10,"stages",1
"Almond Metz",17,2022-01-10,"bcs",0
"Ruffus Senger",24,2022-03-02,"dbt",1
"Mrs. Renae Cummerata MD",30,2022-06-15,"challenge",0
"Karyme Skiles",21,2022-02-23,"brave",0
"Cathryn Rohan",25,2021-12-15,"brave",0
"Jethro Weimann",29,2022-04-04,"fbt",0
"Godfrey Abbott",23,2022-04-03,"bgs",0
"Dr. Le Heathcote",31,2022-07-12,"challenge",0
"Miss Sierra Quitzon DVM",27,2021-08-05,"brave",0
"Manly Considine",40,2021-09-05,"brave",0
"Dr. Bettyjane Raynor",25,2022-05-24,"dbt",1
"Mr. Kyson Mitchell I",32,2022-03-14,"resolve",1
"Mr. Bilal Schaden PhD",28,2021-11-07,"challenge",0
"Mr. Donat Schumm V",24,2021-05-25,"stages",0
"India Collier",32,2021-06-27,"bgs",0
"Mansfield Veum",25,2022-07-28,"fbt",0
"Dr. Quincy Sauer V",34,2021-07-20,"stages",0
"Carlyn Blick-Barton",41,2021-07-04,"brv",0
"Noemi Rogahn",27,2022-02-08,"challenge",0
"Captain Bashirian",26,2021-12-11,"challenge",1
"Coral Hoeger",30,2021-11-02,"brave",0
"Talen Ledner",27,2022-06-15,"stages",0
"Saint Ondricka-Koelpin",37,2022-02-23,"stages",0
"Javonte Hahn-Goyette",16,2021-10-24,"challenge",0
"Barnie Beer",27,2022-01-19,"stages",0
"Dr. Ples Luettgen DDS",26,2022-02-23,"stages",0
"Tamatha Gottlieb DVM",23,2021-08-13,"brave",0
"Dr. Melody Mueller DDS",40,2021-11-15,"bgs",0
"Olie Macejkovic PhD",32,2022-05-23,"brv",0
"Miss Retha Hansen",20,2021-12-21,"brv",0
"Arletta Nicolas DDS",22,2021-10-01,"brave",0
"Carlton Schultz",33,2021-10-13,"mhsd",0
"Lesli Lebsack",25,2022-02-21,"bgs",0
"Monika Ledner",22,2022-09-10,"bgs",0
"Buna Strosin",29,2021-12-24,"brave",0
"Towanda Little",39,2021-06-09,"bcs",0
"Berton Langosh-D'Amore",20,2021-12-19,"am",1
"Breonna Koss",47,2022-04-02,"am",0
"Dr. Glover Quitzon MD",28,2022-08-16,"rdap",1
"Vernal Hilpert-Legros",31,2022-01-04,"am",0
"Teela Murazik",32,2021-11-01,"am",0
"Ms. Symone Swift",30,2021-12-01,"mhsd",0
"Rowan O'Keefe",32,2021-09-09,"bcs",0
"Palma Schmitt",32,2021-12-17,"stages",1
"Ole Schimmel-Auer",24,2022-06-04,"stages",0
"Sarai Welch-Cummings",31,2021-08-03,"rdp",0
"Leroy Braun",25,2021-12-09,"resolve",1
"Mr. Jayden Hills III",25,2021-08-07,"fbt",0
"Grisel Russel DVM",21,2021-09-13,"brv",0
"Orvel Mitchell",31,2021-12-10,"resolve",0
"Theodore Kautzer",30,2022-01-10,"resolve",0
"Mr. Markell Waters MD",21,2022-03-02,"stages",1
"Francisco VonRueden-Bechtelar",28,2022-06-15,"resolve",0
"Mr. Hartley Kovacek",30,2022-02-23,"sotrt",1
"Anderson Okuneva",36,2021-12-15,"mhsd",0
"Dr. Orie Abbott II",33,2022-04-04,"am",1
"Magen Effertz",37,2022-04-03,"stages",0
"Karis Schiller-Armstrong",27,2022-07-12,"am",1
"Jalissa Littel",27,2021-08-05,"bcs",0
"Octavia Cassin",36,2021-09-05,"challenge",1
"Alani Hyatt-Bednar",26,2022-05-24,"bgs",0
"Roby Streich",23,2022-03-14,"challenge",0
"Azul Brekke-Hessel",28,2021-11-07,"mhsd",0
"Lena Goodwin",27,2021-05-25,"resolve",1
"Corey Schultz",22,2021-06-27,"challenge",0
"Paxton Veum",29,2022-07-28,"rdp",0
"Ms. Nylah Johnston",30,2021-07-20,"am",0
"Phillip Becker",32,2021-07-04,"brave",0
"Williard Deckow",22,2022-02-08,"challenge",0
"Hilbert Mertz-Howell",32,2021-12-11,"bgs",0
"Corrina Medhurst",27,2021-11-02,"resolve",1
"Dr. Cheyenne Stoltenberg Sr.",27,2022-06-15,"am",0
"Micaela Koss",32,2022-02-23,"brave",0
"Bennie Connelly",30,2021-10-24,"fbt",0
"Gustavo Morar",32,2022-01-19,"challenge",0
"Loriann Koss",25,2022-02-23,"dbt",1
"Chiquita White",26,2021-08-13,"stages",0
"Mr. Kenyon Prohaska I",36,2021-11-15,"fbt",0
"Nestor Reichert",28,2022-05-23,"resolve",1
"Dulcie Braun-Ernser",31,2021-12-21,"challenge",0
"Cliffie Flatley PhD",22,2021-10-01,"fbt",0
"Spenser Paucek",25,2021-10-13,"mhsd",0
"Dr. Myrtle Anderson MD",25,2022-02-21,"stages",1
"Bentley Jakubowski",26,2022-09-10,"mhsd",0
"Tabetha Upton",22,2021-12-24,"am",1
"Tabatha Dare",37,2021-06-09,"stages",1
"Mr. Buel Rodriguez",21,2021-12-19,"sotrt",1
"Nickolas Leffler",33,2022-04-02,"am",0
"Tamela Johnston-Gaylord",35,2022-08-16,"mhsd",0
"Ferdinand Schroeder",23,2022-01-04,"resolve",0
"Christeen Vandervort",36,2021-11-01,"am",1
"Chase Hauck",34,2021-12-01,"mhsd",0
"Latisha Wolff",30,2021-09-09,"brave",0
"Mr. Ahmad Heathcote",29,2021-12-17,"mhsd",1
"Theola Trantow",37,2022-06-04,"stages",1
"Lassie Bergstrom",18,2021-08-03,"challenge",0
"Raleigh Prohaska-Toy",32,2021-12-09,"resolve",0
"Lea Wilkinson V",32,2021-08-07,"challenge",0
"Kristian Durgan",37,2021-09-13,"stages",1
"Georgiana Larson-O'Keefe",30,2021-12-10,"rdp",0
"Jamarion Hamill",37,2022-01-10,"rdap",1
"Trinidad Welch",30,2022-03-02,"am",0
"Gertrude Orn",40,2022-06-15,"rdap",1
"Dr. Diane Wunsch",31,2022-02-23,"stages",1
"Rey Shanahan-Kreiger",27,2021-12-15,"sotrt",1
"Rahsaan Baumbach",24,2022-04-04,"rdp",0
"Benton Wiza",23,2022-04-03,"bgs",0
"Melvina Cormier-Windler",35,2022-07-12,"challenge",1
"Helen Bayer-Raynor",26,2021-08-05,"challenge",0
"Jewell Medhurst",31,2021-09-05,"stages",0
"Kazuko Frami",29,2022-05-24,"am",1
"Mrs. Kyara Eichmann",32,2022-03-14,"fbt",0
"Peggie Parisian",32,2021-11-07,"stages",0
"Tatyanna Cummings",34,2021-05-25,"challenge",0
"Jamaal Abernathy",34,2021-06-27,"brave",0
"Truman Emard",39,2022-07-28,"bcs",1
"Mr. Marrion Rutherford I",21,2021-07-20,"challenge",0
"Marvin Walker",33,2021-07-04,"am",1
"Dr. Abigayle Wolff",22,2022-02-08,"am",0
"Ms. Kanesha Wehner DDS",31,2021-12-11,"rdap",1
"Esther White",31,2021-11-02,"sotrt",1
"Chancy Crooks",32,2022-06-15,"sotrt",0
"Merilyn Weber",24,2022-02-23,"rdp",0
"Marely Wolff",20,2021-10-24,"sotrt",0
"Georgiann Bashirian",21,2022-01-19,"mhsd",0
"Larry Yundt DVM",35,2022-02-23,"am",0
"Mr. Clair Funk",31,2021-08-13,"challenge",0
"Nathaly Gleason MD",31,2021-11-15,"am",0
"Brook Witting",35,2022-05-23,"am",1
"Scot Weber",35,2021-12-21,"mhsd",0
"Brenda Bruen",34,2021-10-01,"dbt",1
"Tod Olson IV",36,2021-10-13,"brave",1
"Justus Ryan",28,2022-02-21,"brave",1
"Dimitri Gerlach",27,2022-09-10,"am",1
"Marry Bayer",25,2021-12-24,"stages",0
"Dr. Iverson Kozey V",33,2021-06-09,"am",0
"Effa Bode",33,2021-12-19,"bcs",1
"Dakota Kutch-Thompson",32,2022-04-02,"brave",0
"Sydni Homenick",20,2022-08-16,"mhsd",0
"Caswell Rohan",37,2022-01-04,"stages",1
"Floy Gorczany-Brakus",30,2021-11-01,"am",1
"Diallo Reynolds",30,2021-12-01,"brave",0
"Dulcie Murphy",32,2021-09-09,"rdap",1
"Achsah Schinner",18,2021-12-17,"am",0
"Lawyer Swift",31,2022-06-04,"fbt",0
"Roxane Buckridge",28,2021-08-03,"brave",0
"Kellan Veum",44,2021-12-09,"mhsd",0
"Leeroy Grady",19,2021-08-07,"resolve",0
"Robby Tillman-McCullough",34,2021-09-13,"am",0
"Lonnie Daniel-Kassulke",30,2021-12-10,"resolve",1
"Ernesto Brakus",20,2022-01-10,"am",1
"Jeffrey Stroman",25,2022-03-02,"am",1
"Jabbar Thompson",29,2022-06-15,"challenge",0
"Rosalee Paucek",24,2022-02-23,"sotrt",1
"Kiana Runolfsdottir",28,2021-12-15,"challenge",0
"Dr. Fleda Rath MD",31,2022-04-04,"challenge",0
"Dr. Kaila Tromp",34,2022-04-03,"am",0
"Kurt Fisher",36,2022-07-12,"sotrt",0
"Leyla Dach MD",35,2021-08-05,"dbt",1
"Mrs. Lakisha Ritchie",34,2021-09-05,"challenge",0
"Kris Bode",29,2022-05-24,"dbt",1
"Damari Fay",32,2022-03-14,"challenge",1
"Miss Gwyneth Hartmann PhD",29,2021-11-07,"rdp",0
"Cecile Reichert DDS",28,2021-05-25,"challenge",1
"Amado Weissnat",32,2021-06-27,"rdap",1
"Rosita Kuhic",29,2022-07-28,"stages",0
"Marcello Leuschke",32,2021-07-20,"challenge",0
"Karlene Rolfson",32,2021-07-04,"bcs",0
"Mr. Roland Feil",32,2022-02-08,"rdp",0
"Audley Reilly",34,2021-12-11,"stages",1
"Daquan Pollich",35,2021-11-02,"rdp",0
"Mrs. Corey Muller MD",26,2022-06-15,"rdap",1
"Ariella Johnston-Bashirian",29,2022-02-23,"stages",0
"Lorelei Cruickshank-Wyman",35,2021-10-24,"mhsd",0
"Anastacia Herman MD",32,2022-01-19,"stages",0
"Mr. Nathan Lowe DVM",33,2022-02-23,"stages",1
"Milburn Schoen",30,2021-08-13,"am",0
"Orvel Weimann",34,2021-11-15,"stages",0
"Earnest Hammes-Bednar",35,2022-05-23,"rdp",0
"Omarion Ward",27,2021-12-21,"mhsd",0
"Memphis Fisher-Koepp",28,2021-10-01,"brave",0
"Delvin Labadie-Morar",31,2021-10-13,"bcs",1
"Merton Kertzmann",27,2022-02-21,"challenge",0
"Cristin Little",28,2022-09-10,"challenge",0
"Dr. Jeffery Klein",23,2021-12-24,"brave",0
"Kate Heaney",34,2021-06-09,"stages",1
"Ms. Marilynn Swift DVM",34,2021-12-19,"am",1
"Nallely Hoeger",31,2022-04-02,"bcs",1
"Miss Vonnie Marks",32,2022-08-16,"bgs",0
"Dr. Ryan Emard V",25,2022-01-04,"fbt",0
"Tanja Spencer",28,2021-11-01,"rdap",1
"Delinda Grimes",31,2021-12-01,"dbt",1
"Miss Alissa Auer",28,2021-09-09,"resolve",1
"Eboni Aufderhar-Leannon",38,2021-12-17,"sotrt",1
"Miss Sydnee Considine",32,2022-06-04,"brv",0
"Conner Stiedemann",26,2021-08-03,"stages",1
"Ivey Gerlach-Zieme",31,2021-12-09,"bgs",0
"Kian Aufderhar",34,2021-08-07,"fbt",0
"Turner Pacocha",15,2021-09-13,"am",1
"Dr. Burke Mayer Sr.",25,2021-12-10,"rdap",1
"Dr. Marcos Erdman III",27,2022-01-10,"stages",0
"Madyson Schowalter",28,2022-03-02,"am",1
"Dr. Raina Corwin MD",20,2022-06-15,"brave",0
"Queen Trantow",27,2022-02-23,"bgs",0
"Mac McCullough",23,2021-12-15,"fbt",0
"Jaren Sanford",30,2022-04-04,"sotrt",1
"Bush Littel-Strosin",26,2022-04-03,"rdap",1
"Timmy Hermann",38,2022-07-12,"mhsd",0
"Dr. Joesph Rodriguez I",29,2021-08-05,"stages",0
"Rosita Pfannerstill DDS",26,2021-09-05,"resolve",0
"Rollo Lemke",26,2022-05-24,"am",1
"Rashawn Schinner",31,2022-03-14,"am",0
"Geralyn Schneider",22,2021-11-07,"stages",0
"Ms. Amani Veum DVM",22,2021-05-25,"challenge",1
"Kipp Donnelly",25,2021-06-27,"resolve",0
"Frederica Ledner",34,2022-07-28,"brave",0
"Naoma O'Hara",32,2021-07-20,"am",0
"Fiona Brekke-Schiller",30,2021-07-04,"dbt",1
"Triston Osinski",23,2022-02-08,"dbt",1
"Captain Kautzer",24,2021-12-11,"am",0
"Franco Medhurst",23,2021-11-02,"brv",0
